id,url,image,name,time,serves,price,energy,fat,saturated_fat,sugar,salt
artichoke-garlic-soup,https://www.asdagoodliving.co.uk/food/recipes/artichoke-garlic-soup,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1975/artichoke-garlic-soup__square.jpg,Artichoke & garlic soup,75 mins,4,90p per serving,180,16.1g,2.8g,2.2g,1.02
asian-crab-sliders,https://www.asdagoodliving.co.uk/food/recipes/asian-crab-sliders,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/3689/asian_crab_and_go_sliders__square.jpg,Asian crab sliders,15 mins,4,£1.31 per serving,336,9.7g,4.6g,6.0g,1.95
asian-spiced-duck-breasts,https://www.asdagoodliving.co.uk/food/recipes/asian-spiced-duck-breasts,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/4582/asian-style-duck-breasts__square.jpg,Asian-style spiced duck breasts,40 mins,2,£3.25 per serving,657,14.0g,4.5g,22.3g,1.21
asian-style-coleslaw-with-baked-sweet-potato,https://www.asdagoodliving.co.uk/food/recipes/asian-style-coleslaw-with-baked-sweet-potato,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/897/asian-style-coleslaw-with-baked-sweet-potato__square.jpg,Asian-style coleslaw with baked sweet potato,60 mins,4,89p per serving,330,9.5g,2g,18.3g,1382
asian-style-mince,https://www.asdagoodliving.co.uk/food/recipes/asian-style-mince,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/941/asian-style-mince__square.jpg,Asian-style mince,30 mins,6,£1.75 per serving,529,13g,5.2g,5.7g,2215
asian-style-salmon-potato-croquettes,https://www.asdagoodliving.co.uk/food/recipes/asian-style-salmon-potato-croquettes,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1260/asian-style-potato-croquettes__square.jpg,Asian-style salmon & potato croquettes,60 mins,4,£1.13 per serving,359,15.8g,4.5g,2.1g,1503
asparagus-beetroot-tarts,https://www.asdagoodliving.co.uk/food/recipes/asparagus-beetroot-tarts,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/2486/asparagus-tarts__square.jpg,Asparagus and beetroot tarts,25 mins,6,40p per serving,322,20.9g,11.9g,2.4g,0.83
asparagus-blue-cheese-slice,https://www.asdagoodliving.co.uk/food/recipes/asparagus-blue-cheese-slice,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/239/asparagus-blue-cheese-slice__square.jpg,Asparagus & blue cheese slice,40 mins,8,£1.26 per serving,397,30g,18.7g,2.2g,1662
asparagus-cherry-tomato-tarts,https://www.asdagoodliving.co.uk/food/recipes/asparagus-cherry-tomato-tarts,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/360/imageRecipeAsparagusCherryTomatoTarts-2x__square.jpg,Asparagus & cherry tomato tarts,60 mins,18,63p per serving,338,25.3g,13.4g,2.1g,1415
asparagus-filo-pie,https://www.asdagoodliving.co.uk/food/recipes/asparagus-filo-pie,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/338/asparagus-filo-pie__square.jpg,Asparagus filo pie,60 mins,6,£2.30 per serving,582,41g,15g,5.6g,2437
asparagus-kale-and-coconut-soup,https://www.asdagoodliving.co.uk/food/recipes/asparagus-kale-and-coconut-soup,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/3372/kalesoup__square.jpg,"Asparagus, kale and coconut soup",50 mins,4,£1.87 per serving,188,12.1g,6.7g,5.7g,0.67
asparagus-parmesan-slice,https://www.asdagoodliving.co.uk/food/recipes/asparagus-parmesan-slice,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/971/asparagus-parmesan-slice__square.jpg,Asparagus & Parmesan slice,40 mins,4,75p per serving,541,39g,22g,3.7g,2265
asparagus-pea-risotto,https://www.asdagoodliving.co.uk/food/recipes/asparagus-pea-risotto,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1545/asparagus-pea-risotto__square.jpg,Asparagus & pea risotto,30 mins,4,£1.17 per serving,599,22g,10g,5.7g,2508
asparagus-pea-spinach-salad-with-lemon-dressing,https://www.asdagoodliving.co.uk/food/recipes/asparagus-pea-spinach-salad-with-lemon-dressing,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/2488/asparagus-salad__square.jpg,"Asparagus, pea & spinach salad with lemon dressing",13 mins,4,£2.21 per serving,405,31.0g,11.4g,3.4g,1.55
asparagus-radish-roasted-chickpea-salad,https://www.asdagoodliving.co.uk/food/recipes/asparagus-radish-roasted-chickpea-salad,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/2235/asparagusroastedchickpeasalad__square.jpg,"Asparagus, radish and roasted chickpea salad",30 mins,2,84p per serving,185,15.0g,2.7g,1.6g,0.01
asparagus-salmon-ricotta-open-lasagne,https://www.asdagoodliving.co.uk/food/recipes/asparagus-salmon-ricotta-open-lasagne,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/2485/asparagus-lasagne__square.jpg,"Asparagus, salmon & ricotta open lasagne",14 mins,6,£1.29 per serving,350,17.2g,5.2g,2.4g,1.68
asparagus-samphire-with-parmesan-cheese-soft-boiled-eggs,https://www.asdagoodliving.co.uk/food/recipes/asparagus-samphire-with-parmesan-cheese-soft-boiled-eggs,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/330/imageRecipeAsparagusSamphireParmesanCheeseSoftBoiled-2x__square.jpg,Asparagus & samphire with Parmesan cheese & soft boiled eggs,15 mins,6,£1.88 per serving,155,10.4g,3.9g,0.6g,649
atlanta-style-peach-mushroom-burger,https://www.asdagoodliving.co.uk/food/recipes/atlanta-style-peach-mushroom-burger,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1845/atlanta-style-peach-mushroom-burgers__square.jpg,Atlanta-style peach and mushroom burger,70 mins,8,£1.20 per serving,372,22.3g,6.9g,14.3g,0.57
aubergine-bake,https://www.asdagoodliving.co.uk/food/recipes/aubergine-bake,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/754/aubergine-bake__square.jpg,Aubergine bake,60 mins,4,£1.52 per serving,312,14.1g,5.2g,12.4g,1306
aubergine-bulgur-wheat-rolls,https://www.asdagoodliving.co.uk/food/recipes/aubergine-bulgur-wheat-rolls,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/2005/aubergine-bulgur-wheat-rolls__square.jpg,Aubergine & bulgur wheat rolls,20 mins,6,75p per serving,197,8.4g,1.3g,8.2g,825
aubergine-chickpea-curry,https://www.asdagoodliving.co.uk/food/recipes/aubergine-chickpea-curry,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/456/aubergine-chickpea-curry__square.jpg,Aubergine & chickpea curry,35 mins,4,£1.50 per serving,297,13g,2g,13g,1243
aubergine-chickpea-feta-salad-with-sumac-dressing,https://www.asdagoodliving.co.uk/food/recipes/aubergine-chickpea-feta-salad-with-sumac-dressing,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1948/aubergine-chickpea-feta-salad-with-sumac-dressing__square.jpg,"Aubergine, chickpea & feta salad with sumac dressing",18 mins,4,83p per serving,279,18.1g,6.6g,4.5g,1.05
aubergine-gratin-with-tomato-sauce-recipe,https://www.asdagoodliving.co.uk/food/recipes/aubergine-gratin-with-tomato-sauce-recipe,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/2936/aubergine-gratin__square.jpg,James Martin’s aubergine gratin with tomato sauce,20 mins,4,90p per serving,279,20.6g,6.2g,13.3g,0.27
aubergine-mushroom-pate,https://www.asdagoodliving.co.uk/food/recipes/aubergine-mushroom-pate,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1776/aubergine-mushroom-pate__square.jpg,Aubergine & mushroom paté,180 mins,6,45p per serving,114,9.9g,4.8g,2.4g,0.40
aubergine-pancetta-bake,https://www.asdagoodliving.co.uk/food/recipes/aubergine-pancetta-bake,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1335/aubergine-pancetta-bake__square.jpg,Aubergine & pancetta bake,50 mins,4,£1.70 per serving,430,29.8g,13.5g,9.6g,1800
aubergine-parmigiana,https://www.asdagoodliving.co.uk/food/recipes/aubergine-parmigiana,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1618/aubergine-parmigiana__square.jpg,Aubergine Parmigiana,80 mins,4,£1.60 per serving,420,31g,13g,12g,1758
aubergine-pepper-bake,https://www.asdagoodliving.co.uk/food/recipes/aubergine-pepper-bake,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1419/aubergine-pepper-bake__square.jpg,Aubergine & pepper bake,40 mins,4,65p per serving,263,14g,4.1g,13g,1101
aubergine-tomato-baked-eggs,https://www.asdagoodliving.co.uk/food/recipes/aubergine-tomato-baked-eggs,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1026/aubergine-and-tomato-baked-eggs__square.jpg,Aubergine & tomato baked eggs,45 mins,4,83p per serving,286,19.4g,5.3g,9.9g,1197
aubergines-stuffed-with-beans-cheese,https://www.asdagoodliving.co.uk/food/recipes/aubergines-stuffed-with-beans-cheese,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/488/aubergines-stuffed-with-beans-cheese__square.jpg,Aubergines stuffed with beans & cheese,55 mins,4,£1.25 per serving,358,23.1g,6.2g,9.7g,1499
autumn-apple-cake,https://www.asdagoodliving.co.uk/food/recipes/autumn-apple-cake,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/3070/apple-cake__square.jpg,James Martin’s autumn apple cake,40 mins,16,per serving,211,11.1g,6.4g,15.3g,0.17
avocado-chickpea-mashup-in-pitta,https://www.asdagoodliving.co.uk/food/recipes/avocado-chickpea-mashup-in-pitta,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/4185/avocado-chickpea-pitta__square.jpg,Avocado-chickpea mashup in pitta,20 mins,1,1.55 per serving,481,22.2g,3.9g,3.7g,0.65
baa-lamb-muffins,https://www.asdagoodliving.co.uk/food/recipes/baa-lamb-muffins,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/2275/asda_easter_shaun_the_sheep_muffins__square.jpg,Baa-lamb muffins,60 mins,14,34p per serving,335,13.8g,7.1g,37.0g,0.52
baby-carrots-with-orange-glaze,https://www.asdagoodliving.co.uk/food/recipes/baby-carrots-with-orange-glaze,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/249/imageRecipeBabyCarrotsOrangeGlaze-2x__square.jpg,Baby carrots with orange glaze,10 mins,6,51p per serving,51,2.4g,1.4g,6.2g,214
baby-leaf-chicken-salad,https://www.asdagoodliving.co.uk/food/recipes/baby-leaf-chicken-salad,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/225/imageRecipeBabyLeafChickenSalad-2x__square.jpg,Baby leaf & chicken salad,10 mins,2,£3.10 per serving,636,41.8g,8g,10.1g,2663
bacon-egg-picnic-pies,https://www.asdagoodliving.co.uk/food/recipes/bacon-egg-picnic-pies,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1903/bacon-egg-picnic-pies__square.jpg,Bacon & egg picnic pies,60 mins,8,43p per serving,411,24.8g,8.1g,2.1g,1.66
bacon-leek-mushroom-pasta,https://www.asdagoodliving.co.uk/food/recipes/bacon-leek-mushroom-pasta,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/925/bacon-leek-mushroom-pasta__square.jpg,"Bacon, leek & mushroom pasta",30 mins,4,£1.26 per serving,525,16g,5.8g,3.9g,2198
bacon-mushroom-risotto,https://www.asdagoodliving.co.uk/food/recipes/bacon-mushroom-risotto,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/720/bacon-mushroom-risotto__square.jpg,Bacon & mushroom risotto,45 mins,4,92p per serving,541,14.5g,5.7g,2.8g,2265
bacon-pumpkin-soup,https://www.asdagoodliving.co.uk/food/recipes/bacon-pumpkin-soup,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/859/bacon-pumpkin-soup__square.jpg,Bacon & pumpkin soup,65 mins,6,95p per serving,303,18g,9.3g,4.2g,1269
bacon-spinach-tomato-pasta,https://www.asdagoodliving.co.uk/food/recipes/bacon-spinach-tomato-pasta,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1838/bacon-spinach-tomato-salad__square.jpg,"Bacon, spinach & tomato pasta",15 mins,1,£1.29 per serving,505,19.7g,3.2g,19.7g,0.29
bacon-sweetcorn-potato-cakes,https://www.asdagoodliving.co.uk/food/recipes/bacon-sweetcorn-potato-cakes,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/358/imageRecipeBaconSweetcornPotatoCakes-2x__square.jpg,Bacon & sweetcorn potato cakes,60 mins,4,£2.02 per serving,439,19.5g,7.5g,10g,1838
bacon-sweetcorn-sweet-potato-chowder,https://www.asdagoodliving.co.uk/food/recipes/bacon-sweetcorn-sweet-potato-chowder,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/451/imageRecipeBaconSweetcornPotatoChowder-2x__square.jpg,"Bacon, sweetcorn & sweet potato chowder",40 mins,4,60p per serving,378,14.1g,4.7g,12g,1583
bacon-wrapped-onion-rings,https://www.asdagoodliving.co.uk/food/recipes/bacon-wrapped-onion-rings,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/2474/bacon-wrapped-onion-rings__square.jpg,Bacon-wrapped onion rings,30 mins,8,35p per serving,93,6.6g,2.3g,1.4g,1.32
bagel-pizzas,https://www.asdagoodliving.co.uk/food/recipes/bagel-pizzas,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/805/bagel-pizzas__square.jpg,Bagel pizzas,25 mins,4,£1.06 per serving,400,10.4g,5.1g,10.2g,1675
baked-apples-stuffed-with-pistachios-apricots-figs,https://www.asdagoodliving.co.uk/food/recipes/baked-apples-stuffed-with-pistachios-apricots-figs,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/1729/baked-apples-stuffed-with-pistachios-apricots-figs__square.jpg,"Baked apples stuffed with pistachios, apricots and figs",60 mins,4,90p per serving,388,7.5g,2.1g,57.0g,0.14
baked-banana-mummies,https://www.asdagoodliving.co.uk/food/recipes/baked-banana-mummies,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/4652/banana_mummies__square.jpg,Baked banana mummies,25 mins,8,28p per serving,142,3.7g,1.9g,15.7g,0.09
baked-beans,https://www.asdagoodliving.co.uk/food/recipes/baked-beans,https://be35832fa5168a30acd6-5c7e0f2623ae37b4a933167fe83d71b5.ssl.cf3.rackcdn.com/352/imageRecipeBakedBeans-2x__square.jpg,Baked beans,15 mins,4,65p per serving,243,9.4g,1.2g,10.1g,1017
