id,ingredient
aloo-gobi-potato-cauliflower-curry,1 level tsp ground coriander
aloo-gobi-potato-cauliflower-curry,1 level tsp ground turmeric
aloo-gobi-potato-cauliflower-curry,2 tbsp sunfower oil
aloo-gobi-potato-cauliflower-curry,"1 medium onion, halved and sliced"
aloo-gobi-potato-cauliflower-curry,"1cm piece root ginger, peeled and grated"
aloo-gobi-potato-cauliflower-curry,"2 green chillies, de-seeded and finely chopped, plus extra to serve"
aloo-gobi-potato-cauliflower-curry,"2 cloves garlic, crushed"
aloo-gobi-potato-cauliflower-curry,"400g potatoes, peeled and cut into 2cm chunks"
aloo-gobi-potato-cauliflower-curry,1 bay leaf
aloo-gobi-potato-cauliflower-curry,"225g pack cherry tomatoes on the vine, removed from the vine and quartered"
aloo-gobi-potato-cauliflower-curry,1 caulifower
aloo-gobi-potato-cauliflower-curry,"1 tbsp chopped fresh coriander, plus leaves to garnish"
aloo-gobi-potato-cauliflower-curry,"Chopped red chilli, to serve"
aloo-gobi-potato-cauliflower-curry,"Naan bread, to serve"
american-cheeseburger,250g Butcher’s Selection Lean Beef Mince (Typically Less Than 5% Fat)
american-cheeseburger,2tsp Worcestershire sauce  
american-cheeseburger,"2tsp Crowning Touch American Mustard,  plus extra for serving (optional)  "
american-cheeseburger,"1tbsp Extra Special Cold-Pressed Rapeseed Oil, plus extra for brushing"
american-cheeseburger," 1 large white onion, sliced"
american-cheeseburger,4 Baker’s Selection White Burger Buns
american-cheeseburger,4 individual Asda Cheese Slices
american-cheeseburger,4 lettuce leaves  
american-cheeseburger,2tbsp Asda Tangy  Burger Relish
american-meatloaf,"75g slightly stale bread, made into crumbs"
american-meatloaf,3 tbsp milk
american-meatloaf,1 tbsp Worcestershire sauce
american-meatloaf,1 level tbsp Asda Coarse Mustard
american-meatloaf,3 tbsp tomato ketchup
american-meatloaf,3 tbsp Asda Onion Chutney
american-meatloaf,"1 large free-range egg, lightly beaten"
american-meatloaf,500g Asda Lean Steak Mince
american-meatloaf,"454g Asda Extra Special Pork Sausages, skin removed"
american-meatloaf,"75g carrot, grated"
american-meatloaf,1 level tbsp mixed dried herbs
american-meatloaf,"700g potatoes, boiled, then mashed, to serve"
american-meatloaf,"400g mixed vegetables, to serve"
american-pancake-stack,100g plain flour
american-pancake-stack,1 1/2 level tsp baking powder
american-pancake-stack,1 tsp sugar
american-pancake-stack,1 large egg
american-pancake-stack,"15g butter, melted"
american-pancake-stack,150ml semi-skimmed milk
american-pancake-stack,"2 tsp sunflower oil, for cooking"
american-pancake-stack,"Streaky bacon, to serve"
american-pancake-stack,"Chosen by you Pure Canadian Maple Syrup, to serve"
american-pecan-pie,500g Asda Ready To Roll Shortcrust Pastry
american-pecan-pie,"Flour, for rolling out"
american-pecan-pie,300g Asda Pecans
american-pecan-pie,3 large free-range eggs
american-pecan-pie,100g light soft brown sugar
american-pecan-pie,150g golden syrup
american-pecan-pie,4 tbsp maple syrup
american-pecan-pie,50g butter melted
american-pecan-pie,1 level tsp cornflour
american-style-onion-rings,100g plain flour
american-style-onion-rings,2 level tsp Asda Cajun Seasoning
american-style-onion-rings,2 large egg yolks
american-style-onion-rings,1 tbsp oil
american-style-onion-rings,150ml semi-skimmed milk
american-style-onion-rings,"2 large onions, peeled"
american-style-onion-rings,"Oil, for frying in deep fat fryer"
american-style-onion-rings,1 egg white
american-style-onion-rings,"Tomato ketchup, to serve"
american-style-pulled-pork-sandwich,2 tsp Asda Smoked Paprika
american-style-pulled-pork-sandwich,1 level tsp Asda Mild Chilli Powder
american-style-pulled-pork-sandwich,1 level tsp Colman's Dry Mustard Powder
american-style-pulled-pork-sandwich,1 tsp Asda Onion Granules
american-style-pulled-pork-sandwich,1/2 tsp salt
american-style-pulled-pork-sandwich,1 tbsp sunflower oil
american-style-pulled-pork-sandwich,"1 Asda Butcher's Selection Pork Shoulder without bone, about 1.8kg"
american-style-pulled-pork-sandwich,500ml cider
american-style-pulled-pork-sandwich,"2 Ciabatta loaves, to serve"
american-style-pulled-pork-sandwich,Asda Barbecue Ketchup to serve
american-style-pulled-pork-sandwich,"1 large apple (or 2 small apples), cored and thinly sliced"
american-style-pulled-pork-sandwich,1 tbsp lemon juice
american-style-pulled-pork-sandwich,"150g white cabbage, trimmed and shredded"
american-style-pulled-pork-sandwich,"100g carrot, coarsely grated"
american-style-pulled-pork-sandwich,"1/2 small red onion, chopped"
american-style-pulled-pork-sandwich,6 tbsp reduced-fat mayonnaise
american-style-pulled-pork-sandwich,3 tbsp natural low-fat yoghurt
apple-crumble-parmesan-cake,"200g unsalted butter, softened, plus extra for greasing "
apple-crumble-parmesan-cake,200g soft light brown sugar
apple-crumble-parmesan-cake,"3 eggs, beaten"
apple-crumble-parmesan-cake,75g ground almonds
apple-crumble-parmesan-cake,"80g Parmesan, grated"
apple-crumble-parmesan-cake,125g self-raising flour
apple-crumble-parmesan-cake,¼tsp ground cinnamon
apple-crumble-parmesan-cake,¼tsp allspice
apple-crumble-parmesan-cake,"4 eating apples, peeled, cored and cut into 2cm chunks"
apple-crumble-parmesan-cake, Zest and juice  ½ lemon
apple-crumble-parmesan-cake,225g Asda Crumble Topping 
apple-crumble-parmesan-cake,2tbsp chopped hazelnuts
apple-crumble-parmesan-cake,2tbsp rolled oats
apple-crumble-parmesan-cake,2tbsp pine nuts 
apple-crumble-recipe,225g plain flour 
apple-crumble-recipe,2 level tsp ground cinnamon
apple-crumble-recipe,"140g chilled butter, cut into 2cm pieces"
apple-crumble-recipe,100g Demerara sugar
apple-crumble-recipe,15g caster sugar
apple-crumble-recipe,"8 Cox apples, each peeled, cored and cut into 8 wedges"
apple-date-charlotte,"4 Cox apples (or Granny Smith), peeled, cored and sliced"
apple-date-charlotte,"1 Large Bramley cooking apple (or 2 small), peeled, cored and sliced"
apple-date-charlotte,"50g stoned dates, roughly chopped"
apple-date-charlotte,4 tbsp apple juice
apple-date-charlotte,1/4 tsp ground cinnamon
apple-date-charlotte,3 tbsp no-bits apricot jam
apple-date-charlotte,"25g butter, melted"
apple-date-charlotte,"5 slices Asda Bakers Gold Wholemeal Bread, crusts removed"
apple-date-charlotte,"1 free-range egg, separated"
apple-date-charlotte,"Fromage frais, to serve"
apple-kale-smoothie,"1 banana, cut into 1cm slices"
apple-kale-smoothie,"3 Grower’s Selection Granny Smith Apples,  each peeled and cored and cut  into chunks"
apple-kale-smoothie,"30g Grower’s Selection Unwashed Sliced Curly Kale, washed"
apple-kale-smoothie,2tbsp crunchy peanut butter 
apple-kale-smoothie,300ml almond milk
apple-kale-smoothie,"Selection of nuts and seeds, to serve"
apple-pear-cinnamon-crumble,225g plain flour
apple-pear-cinnamon-crumble,2 level tsp ground cinnamon
apple-pear-cinnamon-crumble,"140g Asda Extra Special Somerset Farmhouse Butter, cut into 2cm pieces"
apple-pear-cinnamon-crumble,100g Demerara sugar
apple-pear-cinnamon-crumble,4 Asda Extra Special Jazz Apples
apple-pear-cinnamon-crumble,4 pears
apple-pear-cinnamon-crumble,15g caster sugar
apple-pear-cinnamon-crumble,50g hazelnuts for Hazelnut praline topping
apple-pear-cinnamon-crumble,"Crème fraîche, to serve"
apple-radish-beetroot-coleslaw,2 Golden Delicious apples
apple-radish-beetroot-coleslaw,2tbsp lemon juice
apple-radish-beetroot-coleslaw,3tbsp Asda Light Mayonnaise
apple-radish-beetroot-coleslaw,3tbsp Chosen by you Greek Style Natural Yogurt
apple-radish-beetroot-coleslaw,1tsp Dijon mustard
apple-radish-beetroot-coleslaw,1tsp clear honey
apple-radish-beetroot-coleslaw,"150g cooked beetroot, coarsley grated"
apple-radish-beetroot-coleslaw,"12 radishes, trimmed and thinly sliced"
apple-radish-beetroot-coleslaw,"175g carrots, coarsley grated"
apple-radish-beetroot-coleslaw,"2 sticks celery, thinly sliced"
apple-radish-beetroot-coleslaw,"3 spring onions, trimmed and sliced"
apple-rose-tarts,"1 red apple, cored and cut in half"
apple-rose-tarts,1tbsp lemon juice 
apple-rose-tarts,80g ready-rolled puff pastry 
apple-rose-tarts,"Flour, for dusting "
apple-rose-tarts,"1tbsp jam, warmed"
apple-slaw,"2 apples, cored and thinly sliced"
apple-slaw,2 tbsp lemon juice
apple-slaw,6 tbsp Asda Light Mayonnaise
apple-slaw,6 tbsp Asda Greek Style Yogurt
apple-slaw,1 tsp Dijon mustard
apple-slaw,1 tsp clear honey
apple-slaw,"200g white cabbage, shredded"
apple-slaw,"175g carrots, coarsely grated"
apple-slaw,"2 sticks celery, thinly sliced"
apple-slaw,"1 small red onion, chopped"
apple-snow,"750g Bramley cooking apples, peeled, cored and cut into small pieces"
apple-snow,100g caster sugar
apple-snow,"1 lemon, grated zest of"
apple-snow,3 tbsp lemon juice
apple-snow,2 egg whites
apple-snow,100ml double cream
apple-snow,"1 small red eating apple and 4 sprigs mint, to decorate"
apple-watercress-and-asparagus-soup-recipe,"2 Granny Smith apples, pips removed, thinly sliced "
apple-watercress-and-asparagus-soup-recipe,1tsp rapeseed oil
apple-watercress-and-asparagus-soup-recipe,"1 leek, trimmed  and sliced "
apple-watercress-and-asparagus-soup-recipe,1 reduced-salt vegetable stock cube 
apple-watercress-and-asparagus-soup-recipe,"2 potatoes, peeled and roughly chopped "
apple-watercress-and-asparagus-soup-recipe,300g Grower’s Selection Asparagus 
apple-watercress-and-asparagus-soup-recipe,85g watercress 
apple-watercress-and-asparagus-soup-recipe,1tbsp Asda 50% Less Fat Crème Fraîche 
apple-watercress-and-asparagus-soup-recipe,6 wholemeal rolls
apricot-almond-cake,"125g butter, softened"
apricot-almond-cake,125g caster sugar
apricot-almond-cake,Few drops Asda Extra Special Almond Extract
apricot-almond-cake,2 large free-range eggs
apricot-almond-cake,"100g self-raising flour, sifted"
apricot-almond-cake,75g ground almonds
apricot-almond-cake,"1 lemon, zest of"
apricot-almond-cake,3 tbsp milk
apricot-almond-cake,"411g can apricots, drained"
apricot-almond-cake,50g whole blanched almonds
apricot-chicken-with-vegetable-rice,"1 onion, chopped"
apricot-chicken-with-vegetable-rice,1 tbsp sunflower oil
apricot-chicken-with-vegetable-rice,1 level tbsp Asda Mild Curry Powder
apricot-chicken-with-vegetable-rice,2 x 350g bags Chosen by you Cooked Diced Chicken Breast (frozen)
apricot-chicken-with-vegetable-rice,"75g dried apricots, cut into quarters"
apricot-chicken-with-vegetable-rice,"1 chicken stock cube, dissolved in 300ml boiling water"
apricot-chicken-with-vegetable-rice,200g frozen broccoli
apricot-chicken-with-vegetable-rice,800g bag Chosen by you Golden Vegetable Rice Steam Bags (frozen)
apricot-chocolate-tart,"200g plain flour, plus extra for rolling out"
apricot-chocolate-tart,1 tbsp icing sugar
apricot-chocolate-tart,1 tbsp cocoa powder
apricot-chocolate-tart,"100g salted butter, chilled and diced"
apricot-chocolate-tart,5 tbsp apricot jam
apricot-chocolate-tart,100g Extra Special 70% Cocoa Solids Ivory Coast Dark Chocolate
apricot-chocolate-tart,"125g unsalted butter, softened"
apricot-chocolate-tart,125g caster sugar
apricot-chocolate-tart,2 large eggs
apricot-chocolate-tart,125g ground almonds
apricot-chocolate-tart,5-6 fresh apricots
apricot-glazed-chicken,1 tbsp olive oil
apricot-glazed-chicken,"515g pack skinless chicken thigh fillets, halved"
apricot-glazed-chicken,4 level tbsp apricot jam
apricot-glazed-chicken,2 tbsp Amoy Low Salt Soy Sauce
apricot-glazed-chicken,1 tbsp lemon juice
apricot-glazed-chicken,2 level tbsp Asda Dijon or Coarse Grain Mustard
apricot-glazed-chicken,450g potatoes (peeled weight)
apricot-glazed-chicken,4 tbsp semi-skimmed milk
apricot-glazed-chicken,2 tbsp chopped chives
apricot-glazed-chicken,"Sugar snap peas, to serve"
apricot-hazelnut-meringue,175g hazelnuts
apricot-hazelnut-meringue,5 large egg whites
apricot-hazelnut-meringue,275g caster sugar
apricot-hazelnut-meringue,2 tsp cider vinegar
apricot-hazelnut-meringue,Few drops vanilla extract
apricot-hazelnut-meringue,200g ready-to-eat dried apricots
apricot-hazelnut-meringue,"200ml double cream, whipped"
apricot-hazelnut-meringue,"50g dark chocolate, melted"
apricot-mousse,250g pack Chosen by you Stoned Dried Apricots
apricot-mousse,200ml apple juice
apricot-mousse,4 sheets leaf gelatine
apricot-mousse,4 tbsp Sweet Freedom syrup
apricot-mousse,"170g can Carnation Topping Evaporated Milk, chilled"
apricot-mousse,2 large egg whites
apricot-mousse,"Chopped pistachios, to serve"
apricot-mousse,"Flaked almonds, to serve"
apricot-pecan-roulade,250g dried apricots
apricot-pecan-roulade,2 tbsp clear honey
apricot-pecan-roulade,125g pecans
apricot-pecan-roulade,"100g caster sugar, plus extra"
apricot-pecan-roulade,100g plain flour
apricot-pecan-roulade,½ level tsp baking powder
apricot-pecan-roulade,3 large free-range eggs
apricot-pecan-roulade,Few drops vanilla extract
apricot-pecan-roulade,300ml double cream
apricot-pecan-roulade,5 tbsp Asda Extra Special Apricot Conserve
apricot-pistachio-rock-cakes,"225g self-raising flour, sifted"
apricot-pistachio-rock-cakes,1 level tsp mixed spice
apricot-pistachio-rock-cakes,"125g butter, chilled"
apricot-pistachio-rock-cakes,"125g demerara sugar, plus 1 level tbsp for sprinkling"
apricot-pistachio-rock-cakes,"75g dried apricots, cut into sultana sized pieces"
apricot-pistachio-rock-cakes,75g sultanas
apricot-pistachio-rock-cakes,"50g pistachio nuts, roughly chopped"
apricot-pistachio-rock-cakes,1 large egg
apricot-pistachio-rock-cakes,2-3 tbsp milk
aromatic-lamb-italiano-with-salsa-verde,4 cloves garlic 
aromatic-lamb-italiano-with-salsa-verde,2 bay leaves 
aromatic-lamb-italiano-with-salsa-verde,2 sprigs rosemary 
aromatic-lamb-italiano-with-salsa-verde,2 sprigs thyme 
aromatic-lamb-italiano-with-salsa-verde,2tbsp chopped basil
aromatic-lamb-italiano-with-salsa-verde,"2.1kg Butcher’s Selection Lamb Leg, Bone In Joint"
aromatic-lamb-italiano-with-salsa-verde,200ml red wine 
aromatic-lamb-italiano-with-salsa-verde,"1 lemon, quartered"
aromatic-lamb-italiano-with-salsa-verde,"2 shallots, halved"
aromatic-lamb-italiano-with-salsa-verde,1tbsp chopped capers
aromatic-lamb-italiano-with-salsa-verde,"5 baby gherkins, finely chopped "
aromatic-lamb-italiano-with-salsa-verde,1tbsp chopped  flat-leaf parsley 
aromatic-lamb-italiano-with-salsa-verde,2tbsp chopped mint 
aromatic-lamb-italiano-with-salsa-verde,1tbsp snipped chives 
aromatic-lamb-italiano-with-salsa-verde,1tbsp chopped dill 
aromatic-lamb-italiano-with-salsa-verde,2tbsp rapeseed oil
aromatic-moroccan-couscous-recipe,50g pine nuts
aromatic-moroccan-couscous-recipe,50g pumpkin seeds
aromatic-moroccan-couscous-recipe,500g Asda Frozen Mixed Vegetables
aromatic-moroccan-couscous-recipe,215g can chickpeas
aromatic-moroccan-couscous-recipe,2 tbsp olive oil
aromatic-moroccan-couscous-recipe,4 spring onions
aromatic-moroccan-couscous-recipe,1 clove garlic
aromatic-moroccan-couscous-recipe,1 level tbsp ground cumin
aromatic-moroccan-couscous-recipe,1 level tbsp ground coriander
aromatic-moroccan-couscous-recipe,1 level tbsp ground ginger
aromatic-moroccan-couscous-recipe,1 level tbsp paprika
aromatic-moroccan-couscous-recipe,300g couscous
aromatic-moroccan-couscous-recipe,1 reduced-salt vegetable stock cube
aromatic-moroccan-couscous-recipe,150g chopped dried apricots
artichoke-garlic-soup,2 whole bulbs garlic
artichoke-garlic-soup,6 tbsp olive oil
artichoke-garlic-soup,"1 onion, chopped"
artichoke-garlic-soup,"150g Chosen by you Antipasti Chargrilled Artichokes (or Cypressa Antipasti d’Italia Marinated Artichoke Hearts), chopped"
artichoke-garlic-soup,"600ml vegetable stock, made with 1 stock cube"
artichoke-garlic-soup,"2 tsp chopped fresh thyme leaves, plus extra to serve"
artichoke-garlic-soup,"Cayenne pepper, to serve"
asian-crab-sliders,"340g tinned crab, drained "
asian-crab-sliders,1tsp fish sauce 
asian-crab-sliders,1tbsp light mayonnaise 
asian-crab-sliders,1tsp chilli sauce 
asian-crab-sliders,8 slider buns
asian-crab-sliders,"1 baby gem lettuce heart, finely shredded"
asian-crab-sliders,"2 spring onions, finely sliced "
asian-crab-sliders,"2 sprigs mint, finely chopped "
asian-crab-sliders,"4 radishes, finely sliced "
asian-spiced-duck-breasts,"2 Extra Special British Duck Breast Portions, skin scored "
asian-spiced-duck-breasts,"1 shallot, finely chopped"
asian-spiced-duck-breasts,"1 clove garlic, finely sliced"
asian-spiced-duck-breasts,"1cm piece ginger, finely sliced"
asian-spiced-duck-breasts,"½ Grower’s Selection Red Chilli, finely sliced (optional)"
asian-spiced-duck-breasts,2tsp Chinese 5 spice
asian-spiced-duck-breasts, 250ml orange juice
asian-spiced-duck-breasts,Juice 1 lime
asian-spiced-duck-breasts,1tsp fish sauce
asian-spiced-duck-breasts,1tbsp fine-cut marmalade
asian-spiced-duck-breasts,1 heaped tsp cornflour
asian-spiced-duck-breasts,"1 medium orange, segmented"
asian-spiced-duck-breasts,"150g wild and basmati rice, cooked, to serve"
asian-spiced-duck-breasts,"160g mixed green veg, steamed, to serve"
asian-style-coleslaw-with-baked-sweet-potato,4 small sweet potatoes
asian-style-coleslaw-with-baked-sweet-potato,100g frozen broad beans
asian-style-coleslaw-with-baked-sweet-potato,"150g white cabbage, shredded"
asian-style-coleslaw-with-baked-sweet-potato,"1 large carrot, peeled and grated"
asian-style-coleslaw-with-baked-sweet-potato,"4 spring onions, sliced diagonally"
asian-style-coleslaw-with-baked-sweet-potato,"1 pointed pepper, de-seeded, finely sliced"
asian-style-coleslaw-with-baked-sweet-potato,1 tbsp soy sauce
asian-style-coleslaw-with-baked-sweet-potato,3 tbsp groundnut oil
asian-style-coleslaw-with-baked-sweet-potato,1 tbsp lemon juice
asian-style-coleslaw-with-baked-sweet-potato,"1 red or green chilli, de-seeded and finely chopped (optional)"
asian-style-coleslaw-with-baked-sweet-potato,"1 tbsp coriander, chopped"
asian-style-mince,600g Asda Butcher's Selection Lean Beef Mince
asian-style-mince,"2cm piece root ginger, peeled and grated"
asian-style-mince,2 level tbsp flour
asian-style-mince,"1 Knorr Beef Stock Cube, dissolved in 300ml water"
asian-style-mince,2 tbsp Amoy Reduced Salt Soy Sauce
asian-style-mince,2 tbsp Asda Sweet Chilli Sauce
asian-style-mince,2 level tbsp tomato purée
asian-style-mince,400g frozen mixed vegetables
asian-style-mince,"1 bunch spring onions, trimmed and shredded"
asian-style-mince,"450g long-grain white rice, boiled "
asian-style-salmon-potato-croquettes,400g Marabel potatoes (peeled weight)
asian-style-salmon-potato-croquettes,240g pack Asda Boneless Skin On Salmon Fillets
asian-style-salmon-potato-croquettes,1 tsp sunfower oil
asian-style-salmon-potato-croquettes,15g butter
asian-style-salmon-potato-croquettes,"4 spring onions, trimmed and thinly sliced"
asian-style-salmon-potato-croquettes,"1 red chilli, de-seeded and finely chopped"
asian-style-salmon-potato-croquettes,"1/2 lime, zest of"
asian-style-salmon-potato-croquettes,2 tsp lime juice
asian-style-salmon-potato-croquettes,"Lime wedges, to serve"
asian-style-salmon-potato-croquettes,1 tbsp chopped coriander
asian-style-salmon-potato-croquettes,2 egg yolks
asian-style-salmon-potato-croquettes,1 large whole egg
asian-style-salmon-potato-croquettes,"Flour, for dusting"
asian-style-salmon-potato-croquettes,100g white bread
asian-style-salmon-potato-croquettes,"Salad, to serve"
asparagus-beetroot-tarts,1 sheet ready-rolled puff pastry
asparagus-beetroot-tarts,"1 egg, beaten"
asparagus-beetroot-tarts,"100g cooked beetroot, finely cubed"
asparagus-beetroot-tarts,150g asparagus tips
asparagus-beetroot-tarts,"150g mozzarella, drained and torn"
asparagus-beetroot-tarts,"Thyme leaves, to garnish"
asparagus-blue-cheese-slice,"1 bunch asparagus, trimmed"
asparagus-blue-cheese-slice,"400g frozen Jus-Rol All Butter Puff Pastry, thawed"
asparagus-blue-cheese-slice,"Flour, for rolling out"
asparagus-blue-cheese-slice,"1 large free-range egg, beaten"
asparagus-blue-cheese-slice,100g mascarpone
asparagus-blue-cheese-slice,150g Gorgonzola cheese
asparagus-blue-cheese-slice,"15g unsalted butter, melted"
asparagus-cherry-tomato-tarts,2 x 375g packs Asda Ready Rolled Puff Pastry
asparagus-cherry-tomato-tarts,2 x 250g packs Asda Plain Soft Cheese
asparagus-cherry-tomato-tarts,3 large free-range egg yolks
asparagus-cherry-tomato-tarts,"100g mature Cheddar cheese, grated"
asparagus-cherry-tomato-tarts,"100g Asda Swiss Gruyere, grated"
asparagus-cherry-tomato-tarts,24 asparagus tips
asparagus-cherry-tomato-tarts,"20 cherry tomatoes, halved"
asparagus-cherry-tomato-tarts,1 tbsp olive oil
asparagus-filo-pie,"2 bunches asparagus, trimmed"
asparagus-filo-pie,"1 bunch spring onions, trimmed and sliced"
asparagus-filo-pie,3 tbsp olive oil
asparagus-filo-pie,180g bag baby spinach
asparagus-filo-pie,"50g unsalted butter, melted"
asparagus-filo-pie,270g pack Jus-Rol Filo Pastry Sheets
asparagus-filo-pie,3 large free-range eggs
asparagus-filo-pie,250g ricotta
asparagus-filo-pie,"200g feta, crumbled"
asparagus-filo-pie,"100g pine nuts, toasted"
asparagus-filo-pie,"1 lemon, zest of"
asparagus-filo-pie,1 tsp dried oregano
asparagus-kale-and-coconut-soup,1/3 x 120g pack Growers Selection coconut chunks
asparagus-kale-and-coconut-soup,"200g bag sliced curly kale, rinsed in a colander"
asparagus-kale-and-coconut-soup,450g asparagus spears
asparagus-kale-and-coconut-soup,"1 medium  onion, halved and thinly sliced"
asparagus-kale-and-coconut-soup,2 tbsp Asda Coconut oil or olive oil 
asparagus-kale-and-coconut-soup,1 vegetable stock cube
asparagus-kale-and-coconut-soup,1 level tsp Asda Herbs de Provence
asparagus-kale-and-coconut-soup,400ml can reduced fat coconut milk
asparagus-kale-and-coconut-soup,1 level tbsp. cornflour
asparagus-parmesan-slice,"1 sheet frozen puff pastry, thawed"
asparagus-parmesan-slice,"1 medium egg, beaten"
asparagus-parmesan-slice,200g Asda Smart Price Full Fat Soft Cheese
asparagus-parmesan-slice,"50g Parmesan, grated"
asparagus-parmesan-slice,250g frozen asparagus
asparagus-parmesan-slice,"15g butter, melted"
asparagus-pea-risotto,250g bunch asparagus
asparagus-pea-risotto,2 vegetable stock cubes
asparagus-pea-risotto,"1 medium onion, chopped"
asparagus-pea-risotto,2 tbsp olive oil
asparagus-pea-risotto,"1 garlic clove, finely chopped"
asparagus-pea-risotto,350g Asda Arborio Rice
asparagus-pea-risotto,275g frozen peas
asparagus-pea-risotto,2 tbsp chopped flat-leaf parsley
asparagus-pea-risotto,15g butter
asparagus-pea-risotto,"125g Asda Lancashire cheese (or Wensleydale cheese), crumbled"
asparagus-pea-spinach-salad-with-lemon-dressing,150g fresh or frozen peas
asparagus-pea-spinach-salad-with-lemon-dressing,"300g asparagus spears, peeled"
asparagus-pea-spinach-salad-with-lemon-dressing,"150g Asda Antipasti Chargrilled Artichokes, drained and halved (2tbsp oil reserved)"
asparagus-pea-spinach-salad-with-lemon-dressing,1⁄2 x 180g bag baby spinach
asparagus-pea-spinach-salad-with-lemon-dressing,2tsp red wine vinegar
asparagus-pea-spinach-salad-with-lemon-dressing,1tbsp lemon juice and zest of 1 lemon
asparagus-pea-spinach-salad-with-lemon-dressing,"1 ball mozzarella, torn"
asparagus-pea-spinach-salad-with-lemon-dressing,10 Asda Nocellara Olives
asparagus-pea-spinach-salad-with-lemon-dressing,"50g pine nuts, toasted"
asparagus-pea-spinach-salad-with-lemon-dressing,"Basil leaves, to garnish"
asparagus-pea-spinach-salad-with-lemon-dressing,"Torn bread, to serve"
asparagus-radish-roasted-chickpea-salad,"215g can chickpeas, drained and patted dry"
asparagus-radish-roasted-chickpea-salad,5tbsp olive oil
asparagus-radish-roasted-chickpea-salad,1/2 tsp smoked paprika
asparagus-radish-roasted-chickpea-salad,100g asparagus tips
asparagus-radish-roasted-chickpea-salad,2tbsp reduced-fat crème fraîche
asparagus-radish-roasted-chickpea-salad,1tbsp chopped chives
asparagus-radish-roasted-chickpea-salad,Juice and zest ￼1/2 a lemon
asparagus-radish-roasted-chickpea-salad,2 Little Gem lettuces
asparagus-radish-roasted-chickpea-salad,"4 radishes, finely sliced"
asparagus-radish-roasted-chickpea-salad,"6 cherry tomatoes, halved"
asparagus-salmon-ricotta-open-lasagne,"9 sheets fresh lasagne, cut in half to make 18 pieces"
asparagus-salmon-ricotta-open-lasagne,300g asparagus spears
asparagus-salmon-ricotta-open-lasagne,Juice and zest of 1 lemon
asparagus-salmon-ricotta-open-lasagne,2tbsp olive oil
